Word (in Normal Form), Descents
acababacacb,ac
acbacbacacaba,ac
baccbacb,ab
bcabbaba,bc
bcbacabaca,bc
abbbab,ab
cacabacabacabac,ac
bacbacacba,ab
cbacbacbacbacbacabacabaca,bc
bacbacacabacab,ab
cabacabacabacabacabacaba,c
cabbabaca,c
cbacabacababa,bc
abcabbb,a
acabacababacabba,ac
bcbbab,bc
cabcbaca,ac
bcabcabcabcabcabcab,b
bcabacabacbba,bc
cabacabacbacba,c
cbacababa,bc
bcabcacab,bc
abcacabacabacaba,ab
cbacbacacabacb,c
acbacbacabacabacabacabac,ac
abacababacabaca,ab
bbbab,ab
abcabcabb,a
abacabacababac,ab
bacabacabacabacacaba,b
abacabacabacabacabac,ab
acbacabacacaba,a
bacabc,b
cccabacaba,c
cabcabcabcabcba,c
bacacbac,b
abcabbacbba,ab
accababacaba,a
abbacbacab,ab
bacbacabacacaba,ab
ccabcabaca,ac
ababacabacaba,ab
abcabacacabaca,a
acbbabaca,ac
abacabbabac,ab
cabcabcabcabcabcabcab,c
abbacbac,a
bacacabacabaca,b
bcbbb,bc
cabacababacabacab,c
cbaccbba,c
bcabacabacbbab,bc
bacbacbacbacab,ab
cababacbba,c
cbacbacabb,c
bcabacabacabacacaba,bc
cabcbabac,ac
abcabcabbacab,a
bacbabacb,b
bcbbbba,bc
abbacabacb,a
cabbacabacbba,ac
bcabbacabaca,b
bacbaccbac,b
abcabcabacabaca,ab
cabcabcabcabcabcabacb,ac
baccacab,b
cabacababacaba,c
bacacabacbba,b
cbacbacabacacaba,c
ccabacabac,abc
cbacbacbacbacbacbaca,c
bcacba,b
ccacabacabaca,ac
acbacbacabacabacab,ac
bcabacababacbb,bc
cabcabcabcabab,ac
abbacabacabb,a
abacabacabacacb,ab
abbacabacbb,a
abacacabacabacb,ab
abcabbacabacab,ab
bacbacbacac,b
bbacabacab,abc
bbabaca,ab
bacbacbacacb,b
abcabacabacabacabacabacabacb,a
ccabacabacabacaba,abc
abcbbb,a
accabacabacabac,a
bacabacbacaba,b
bacbacabacabacb,ab
cbacabacbabac,bc
ccbca,bc
bcabacabacababacaba,bc
cabacabacabacabacb,c
ccabcabac,ac
bacbacacabacabac,ab
acabacabacabacabacabac,ac
bcabcabcabcabcab,b
bcababacaca,bc
abcabacbb,a
abcababacb,a
abbacbbabac,a
babacacabac,ab
acbacacbba,a
bbacbba,abc
cacabacacabacacb,ac
bcabbabacab,bc
abbacacab,a
cabacabacabacabba,c
bacbacabacabb,ab
acbabacb,ac
abcabacababa,a
abacabbb,ab
abcacba,ab
acbbabac,ac
bacbbabaca,b
acbacbbbac,a
acbacabacabacbb,a
bcabacabbba,bc
bcabbacc,b
cabcabcababacaba,c
abbabac,ab
cbacbacacba,c
bcabbacbba,b
acbacbacbacaba,a
cacabacababacabacaba,ac
bacabacbac,b
acbacbacabacabaca,ac
cabacacabacabacabacacaba,c
cbacbacbacb,c
acabacabacababa,ac
acbabacab,ac
cabcabacabab,ac
bcabcabcabcabcb,bc
abbacababac,a
bacbacbacbacbacabaca,b
cbacbacbacbaccab,c
cabacabacabb,c
cabcabcabcba,ac
bacabacabacbb,b
abcabbacabacba,ab
acbacbabacb,a
bbabacab,ab
bbacacab,abc
bcabacababacaba,bc
acbacbacbaccaba,ac
acabacabacabacbba,ac
cabcabacabacabacaba,ac
acabacacabacabacab,ac
acbacbacbacac,a
bbacabacabaca,abc
cabcbbba,ac
cbc,bc
bbacabaca,abc
ccbcabaca,bc
acbabacabacab,ac
acbacabacababa,a
cbaccababa,c
bacabacabacababac,b
bcabcabbacaba,bc
cacabab,ac
cabcabbacaba,c
cabcabcabcabcb,c
acababacabacabacbba,ac
acbacbacabacababacaba,ac
cbbab,c
abcbabacabac,a
bcabcabcabbaca,b
abcbacb,a
cabcabbacabacab,c
accabacbb,a
cabcabbacacaba,c
cbaccabb,c
bcabacabacabacabacabab,bc
acacabacabacaba,ac
abcabcabbacbba,a
cababacabacab,c
bacabacabacabacbba,b
bcabcabacbba,b
bacbacbacbacabacacb,ab
abcabacabbb,a
abcabacabacabacb,a
cbacbacabacba,c
cabacabacababacaba,c
accabacacab,a
cbacabacabacababa,bc
cbacabacabacac,bc
cabcababacabac,ac
acbacabba,a
bcababacba,bc
bbacabacabacaba,abc
abcabbacabac,ab
cabacabacabacabacaba,c
bacbaccabacabb,b
acbacabacabacabb,a
cbacabacabab,bc
bacabacabacacaba,b
bbbba,ab
cbacbacbaccaba,c
bcabcabca,b
cacabacabacaba,ac
ccababac,abc
bcabcabcabcabcabcaba,b
bbbaba,ab
cbacbacbacabacabac,bc
bcabacabacacb,bc
cbacabacabacbb,bc
bacbacbacabacab,b
bbacbabac,abc
cabbacabacabacbb,ac
abacabacababacb,ab
acabacabacababaca,ac
baccabbac,b
bcabcabcabacabacaba,bc
abacababacabacabac,ab
abcabcabcabcababaca,ab
cabcabacabacabba,ac
acbacbacacba,ac
cabcabcabacbacab,c
abacacabacabacabacab,ab
bacacabacab,b
cabbacabacababacabacab,ac
bacbacacabacabacabac,ab
abcbacba,a
acbcb,a
abacacabbab,ab
acbacacababa,a
bcabcabacabacabacbb,b
bcabcabacabacabacaba,b
acbacbacacbbab,ac
abcbbabacab,a
bcabbacababac,b
abcababacabacba,a
bcabcbaca,b
cabbacaca,ac
acacababa,ac
bacababacabacac,b
accabacabacaba,a
cabcabcabbacab,ac
cbacbacbacbacbacabac,bc
acbaccabacabb,ac
ccabacacba,abc
cababacabacb,c
bacabbbaba,b
cabacabacabacbba,c
cabcabacac,ac
abcabcababaca,ab
acabacabacababacaba,ac
bcabcabcabab,bc
cabcabcabbacaba,ac
abcacabacb,ab
acbacbacbabacaba,ac
acbacabacabacba,a
abcabcababacabacb,ab
bcabacabacababaca,bc
bcabacbacba,bc
bcbabacabacabacb,bc
bbacabacabacb,abc
cababacabacaba,c
acacababacab,ac
bcbacba,bc
bcabbacacaba,b
abcbbbab,a
accabab,a
accabacabacab,a
cabcabacbaca,ac
cbbbba,c
bcabcabcababa,bc
cabacbab,c
baccacabacb,b
ababacacab,ab
cbcabaca,bc
acabacabacabacabacabacab,ac
accbab,a
abcabacabab,a
cbaccacba,bc
cabacabacabbbb,c
cbaccbacabaca,c
cabcabacabacabaca,ac
abacabacabacabacabacababac,ab
bacbaccbacab,b
bcabacbbbba,bc
cabcabcabcabcabcabacab,ac
bacbacbacabacabacb,b
ccabacbb,abc
bcbacbba,bc
bcabbacabacab,b
acbacbacbaccabac,ac
abacbabac,ab
cbaccbb,c
acbacababa,a
abcabcabcabacbacb,a
cbacabbb,bc
abacabacabacabacababacabacab,ab
cabbacabacabaca,ac
cbaccabacabacabac,c
cabcabcabcabac,ac
cbacbacbacacb,bc
cababacacab,c
abacababacabacacab,ab
bacbacbaccabacabacabacab,ab
cbacabacabacacabac,bc
bcabcabcbacaba,bc
accabacabba,a
acbabb,ac
accbbaba,a
cbbbacabba,bc
abcabacacabacab,a
bacbacacbaca,ab
bcabbacbac,b
cbacbaccabac,bc
cabacababacab,c
ccbcab,bc
bacbacbacbacbacabac,b
cbacababacabacab,bc
bacabacabab,b
bacabacababacb,b
cabbacbba,ac
abacabbba,ab
bcabacabacabacabacba,bc
bcabcabacababacab,b
abcabacababaca,a
ababacabacabacab,ab
acbacacabacab,a
bcabcabacabacabacab,b
abacabacabacabacba,ab
abacabacabacababa,ab
acbabacabacabaca,ac
cbacabacabacabb,bc
cbacababacabacabbb,bc
baccacabaca,b
cbacbacca,c
bacabacacba,b
bacabacababaca,b
bacbacabacabacba,ab
abbacabacabacab,a
accacbb,ac
bcababacabacabacab,bc
cabcababacabacaba,ac
bcabcabacababac,b
ababacacaba,ab
baccabacba,ab
abcabacacabac,a
ccacbb,ac
abacbabacaba,ab
abbacabacabacb,a
ccbcabacaba,bc
cabcabbacbba,c
abbacaca,a
cabcacb,c
bcacabacab,b
ccacab,ac
bacbaccbacb,b
acabacbaba,ac
acabacabacacbb,ac
abcabcaca,a
acbacbacbbbb,a
cbaccacabacab,bc
cabcababacbb,ac
bcabbabaca,bc
ababacabacabac,ab
bcabacacbacb,bc
abcacb,ab
acbacbacbacabaca,a
abcabacacaba,a
acacabacaca,ac
bacbacacbb,ab
abcababacac,a
cbbbacba,c
babacabacabac,ab
bacbaccabab,b
abacababacb,ab
bcabacacabac,bc
cababacababaca,c
baccabab,ab
bcabbabacb,bc
ccabacabacabacabac,abc
bacbaccabbaca,ab
abacabacabacabacabacaba,ab
abcbbbba,a
ababacabb,ab
babacabab,ab
acbacbacbacabacaba,a
acabacacbabacabac,ac
abcabacbabacb,a
cbacbacabacabacaba,c
abcabcabca,a
cabcabbabacb,ac
cabcabcabcabacabacab,ac
bacbacbacacabab,b
bacbacbacabacaca,b
cbacabacbaba,bc
acbaccabacabacac,ac
bcabcabacbb,b
acbacbacbacbacabaca,ac
baccabacababaca,ab
acabacababacb,ac
ccabc,ac
abcabcabbba,ab
accacabac,ac
bacbacbacacba,b
abcabcabcabbba,a
cabacbaba,c
cbacbacbacbacbacc,c
bcabacabacacaba,bc
bcabcabcabacababacba,bc
cbacbaccabacaba,bc
bacbbaba,b
acbacbacbacbacabac,ac
cabcbabaca,ac
cabcabacababa,ac
cbaccabacabac,c
bbabacabaca,ab
bcabbacacb,b
bcbacabacabacb,bc
baccabacabacabac,ab
ccbacabacabacba,bc
cbacacbabac,bc
bacbacabacacabac,ab
bbacabbba,abc
bacabacabacabacabacb,b
acbacacabaca,a
cababacbb,c
bcabcbac,b
bacabacbabac,b
bcacabaca,b
acababacba,ac
cabacabacbbaba,c
cabcacabac,c
cabcabcabcabc,c
bcabcabacacb,b
cbabacb,c
bcababacbaba,bc
abbacabacabacaca,a
cabcabcabcabacabac,ac
cbacbacbacbaccb,bc
bbacac,abc
abcabacabacabb,a
abcabacacbba,a
bacababacb,b
cbaccbacab,c
bacbacabacababac,ab
bcabcabacabab,b
acbacbacbacacaba,a
bcabbbba,b
cabcabcabacabaca,c
cabcabacababacac,ac
bcbacabacabac,bc
cababacba,c
acabacbabacaba,ac
cbacbacacabac,c
acbacbacabacabacaba,ac
cbacacabacaba,bc
acacabbba,ac
bbacabacabb,abc
bbcab,bc
bacababacabacb,b
bcabbacabacabacab,b
baccabc,b
acababacabacaba,ac
abacacbb,ab
acbacabacbabac,a
acbacbacabacba,ac
acabbab,ac
cabbacabacabac,ac
bcacaca,b
bacbbab,b
abacabacabab,ab
acbacbaccacb,ac
cbacbacbbba,c
acabacababacabac,ac
cbacbacabacabacacb,c
bacbaccabaca,b
abbacabacac,a
ccbaca,bc
acbacbaccabacabaca,a
cabacabacababaca,c
cabbaccaba,c
bacabacabacabacabb,b
abacacabacabb,ab
abbacabacacab,a
cacabbba,ac
cbacababacb,bc
cbacabacabacabab,bc
abcabcabba,a
acacabacabacabac,ac
abacabacbab,ab
bacababacabacabacabac,b
cabcabacbac,ac
bcabcabcabaca,bc
ccacabacabacab,ac
cbacbacbacbacabac,c
bacabbbb,b
cabcabcabbba,c
bcabacabacbabac,bc
abacbbaba,ab
abbacabbba,a
abcabcabbacaba,a
cacabacabac,ac
abacbabacab,ab
cbacabacabacabacb,bc
bbbacabac,b
cacababa,ac
acacababac,ac
bcabcabcabcabacab,b
cabacabacacabba,c
babacabacaba,ab
abcabbacbb,a
bcabcabacbaba,b
cabcabcabacba,c
acbacababac,a
acbacacabacababa,a
abcabbacabaca,ab
cabbaccab,c
ababacabacabb,ab
acabacacababa,ac
bbacabacaba,abc
bacacabacba,b
bacabacbabacaba,b
acabacacabacb,ac
abcacabacab,ab
abbacacbacab,a
abacabacabacabba,ab
bcabacbacb,bc
cccb,c
cabcabacacab,ac
cabacabacacabacba,c
cbacbacbacabacabacabac,bc
bcabacacabab,bc
bcabcababacba,b
bacabacbaba,b
bbbacb,b
acbacabacacb,a
abcabbacac,ab
cbacbbabaca,bc
cabbacabacabacb,ac
cbacbabacba,bc
cbacbabacabab,bc
abcabacbabacabac,a
cbacbacbacabacacaba,bc
cbacabacabacacb,bc
cbacbacbacacabaca,bc
abacababacabacb,ab
acabacabacacaba,ac
cbacbacbacabacac,bc
abcabacabacabacabac,a
cbacbacbacaba,bc
bacabacacabba,b
abcabacabb,a
abcabcabcabcabacb,ab
accabacabacb,a
cbacacabacabacabac,bc
bcabcabacabacb,b
bcabcabcabcba,b
acbaccabbacabacab,a
cabcabcabcabcabcabacaba,ac
abbbbb,a
abcabacabacabacbacb,a
cbacabacbbba,bc
acabacabacbba,ac
bacabacbabacabaca,b
cabcabbabac,ac
ccbacb,bc
abcbacab,a
bacbbb,b
bcabcababacabacab,b
bbacacabacacabac,abc
bcabcbba,b
cabcabcabcabcabcaba,ac
cbabacacb,c
bcabacacabacacb,bc
cacabacabacabacabac,ac
abacabacacabacabacabacab,ab
acbaccabacba,ac
bcabcabcababacaba,bc
abcacbba,ab
abcbabacbb,a
abcabacababacab,a
baccabacabacb,ab
cabcbabacabacabb,ac
cbacabacacabacabacabac,bc
bacbacabacabacabacabaca,ab
acabacabacabacacb,ac
accabacabacabacab,a
acbacbacbacabacabac,a
acbacacabacabac,a
cbacababacab,bc
bcabcabcabcabacabacabacaba,b
bbacabacabacac,abc
abacbabaca,ab
bcabacabacabacabacaba,bc
baccabacabacabacabac,ab
cababacabacabaca,c
bcacabacaba,b
acacbacaba,ac
ccabba,ac
acbacabacabba,a
abbabacabacabacb,ab
cbacabacacabac,bc
cabbacabacba,ac
cabcabcaca,ac
acacabacabab,ac
bcabbacabacba,b
bacbc,ab
bacababacabacab,b
acbaccbb,ac
acacabacababac,ac
ccababacabaca,abc
bacacabacabab,b
cabbacabacaba,ac
ccacba,ac
cbacbacbacbacbacabaca,bc
bacbacbaccacabac,b
acababacabacabab,ac
bacbacbacbacacab,ab
accabacbba,a
bacbabacabacabaca,b
bcacbba,b
cabcbbab,ac
bcacbb,b
cabacababacb,c
cbacbaccbb,bc
ccabcab,ac
accababacab,a
cabcbacab,ac
bacbacbaccabaca,ab
accacabacabac,ac
abcabacacb,a
cbaccabacabacab,c
abcabcabacabacabac,ab
abcabcabcabcba,ab
cabcabbacacb,c
cccabaca,c
cabacbabacb,c
bacbaccabbac,b
abcabcabcabacabaca,a
ccbacbb,bc
cabcabcbaca,c
bbcabac,bc
babacabacab,ab
bcabacabacabacabacabacab,bc
cabacacbac,c
bbacabacabac,abc
cabacabacabacabbabacabab,c
acacabacabacabacabacabac,ac
acacbbab,ac
cababacababacab,c
bacacabacabacbb,b
cbacabacababaca,bc
cabbbb,c
acabacbacabaca,ac
cbacacabab,bc
abbabacabacabacabac,ab
abcbabacac,a
cabbacabacabacaba,ac
ababacabacabacabacb,ab
bacbacababacaba,ab
cabbacabacabacabaca,ac
acbacbbbaca,ac
acbacababaca,a
bcabbaccb,bc
cbacbacbacbacbacbac,c
abbabacab,ab
cabacabacababa,c
abcabacbac,a
acbbb,a
cbaccabacabacabacb,c
baccabacabac,ab
abcabcabacabacabb,ab
ababacabacabacba,ab
acbacbacabb,ac
cccabac,c
bacabacbab,b
cabcababacacb,ac
abacacabacac,ab
cbacbacacababac,c
cbacacabacaca,bc
cabcabacbacab,ac
bcabcabcabacabb,bc
cacbba,ac
acabacabacabacababa,ac
acbacbacbacbb,a
bacbacabacabacacab,ab
bcabcabcabcababa,b
cbacbacbacacab,bc
cbacbacacabacab,c
cbacbaccabacb,bc
acabacacabacababac,ac
cabcabcabacbba,c
cbacabacacababac,bc
bacbacbacabacac,b
abcabcabacabacbb,ab
abcabcabacabba,ab
cabcabacabacabacabaca,ac
abcabbacaca,ab
bacabacacabacb,b
accababa,a
bbacabacabacab,abc
babacabacba,ab
abbacababaca,a
bacbacbbab,ab
bcacababacab,b
cabacacabacab,c
cabbacabacb,ac
bacabacacbba,b
bbacacabacabacab,abc
acabacacabacba,ac
acbca,a
cbaccacabac,bc
cabacbaca,c
acababacacaba,ac
cabacabacabacacaba,c
bacbacababaca,ab
acacabacabacabacaba,ac
acabacabacabacabacba,ac
abbacc,a
bcabcabacac,b
bcbacababac,bc
cbacbacacabaca,c
cbacabacbabacab,bc
ccabcba,ac
baccbab,ab
cbacacabacba,bc
bacababacabac,b
baccabba,b
bbcabaca,bc
acabacbbaba,ac
abacbacab,ab
bacbacbacbacba,b
bcabacabacabacabb,bc
abcabacbabac,a
abcbabacb,a
bbabacabacb,ab
accbacab,a
bcabacabacabacabacab,bc
abacbbb,ab
bacabacacabacab,b
abcacabacba,ab
acabacacabacab,ac
abacabbaba,ab
bcabacbabacabac,bc
cbaccbacaba,c
acabacabacabacacba,ac
bcabcabacabba,b
abacabacabacabacb,ab
abcabacabacbba,a
bacbacbacabacabacacab,b
cacabacacb,ac
abbacbabac,a
bacbacabacabacabaca,ab
acbabacabacabacb,ac
bbc,bc
accabacabacabaca,a
abcabcabcbab,a
bcabcabcabcabcabacab,bc
abcabcabcabacababac,a
accabbacab,ac
cabcabbacaca,c
abcababacacb,a
acbaccabbac,a
bacabacabacabb,b
cacabacabacba,ac
cbacacbac,bc
accabbabac,a
ccacabacabacb,ac
cbacabacabacacab,bc
cbacbaccabaca,bc
acabacbbbba,ac
bcabcabbacbba,bc
cabbbaba,c
abacababacababac,ab
acbaccbba,ac
bacabacacabac,b
acbaccabacb,ac
bacabacacabacbba,b
cbacbbaba,bc
cabcababacabacbb,ac
cabacbbba,c
cabbacabacaca,ac
acbcab,a
abacabacabacabacabacab,ab
cababacabacabac,c
bacacabacbab,b
cbacacabacababacb,bc
abcabbab,a
bacacbb,b
bacbbbb,b
acabbbaba,ac
abcbacabacababacab,a
abcabcabacabacabacaba,ab
cabcabacabacabacabacabacabacababacab,ac
abbacabacabacabacabac,a
acbaccabacaba,ac
acbbbaca,a
cababacaca,c
cbaccacabb,bc
acabacbacabacacb,ac
acbacabacabacbba,a
abbaccabacab,ab
abcababacabac,a
bacabacabacabacba,b
abcabcabcabcabcabcabcab,a
cabacacabacb,c
cabacacabacba,c
abcabcbac,ab
bacbacbacbacbacbacabac,ab
abcabcabcabcabcabcab,a
bacbacabbabac,ab
acbaccabacabac,ac
cbacabacabacabacabac,bc
abcababacabacab,a
acbacababacabcbabaca,a
abacabacabacabacbabacaba,ab
acbacbbbb,a
abcabcabbacabacb,a
bbacabb,abc
acbacbaccba,a
acbbbacaba,a
abcababacabacabab,a
acacabacabb,ac
bacabacabacacabacb,b
bacbacbacabacacab,b
bcabacabacabacabaca,bc
abacbbabaca,ab
cacabacac,ac
bcabacbbabac,bc
cabacbbabac,c
ccabacabacabacab,abc
cabbacabacbb,ac
abcabcabacababacbb,ab
abbacacba,a
bacabacbabacba,b
bacbacbacabacbba,b
acabacacabb,ac
bacacabacacabacabac,b
bcacabb,b
abcabcabacabacbbb,ab
bcbabacacab,bc
cbabacacab,c
accabbba,a
bcabcabcabacabacabac,bc
cabacbacabaca,c
baccacabacabaca,b
bcabacbbab,bc
acbacacabb,a
abacababacababaca,ab
cabacbabacaba,c
bacababacba,b
cbacacabacabac,bc
abcabcabcabacababaca,a
ccababa,abc
cabacacabacabba,c
cbacacabacb,bc
bcabcabcabcbac,b
acabbaba,ac
bcabcabcbacbb,bc
baccabacabab,ab
bacbacbacbacbacbacbac,b
abacabacabacbb,ab
cbacbacbaccabbac,c
bacababacacb,b
cabacbabacab,c
bacacbacab,b
accbaba,a
cbacacabacbba,bc
cabbabacb,c
babacba,ab
abcabcabcabcabcab,a
bbacacaba,abc
cabacabacabba,c
bacbacacabacabacaba,ab
abcabcabcabcabcabacabacb,a
baccbacabbba,ab
bcabcabcabacabacb,bc
acbabacabacabac,ac
bcababacabacabacabacabba,bc
bcabacabacababa,bc
abacababacabacaba,ab
abacababacac,ab
accabacbab,a
cabacabacabacabacba,c
bacbaccabacb,b
bacbacbbba,b
acbacbbab,a
bacabacabacacba,b
cbacbacabacabacacaba,c
bacbacababa,ab
cababacabacac,c
bbacacba,abc
cabcbabacab,ac
acbacabacabacababaca,a
bcabcabacabb,b
bcabacabacacabaca,bc
bbbabac,ab
accabc,a
cabcabcabcabacbb,ac
abacabacacabacabac,ab
bcabcabcabacbb,bc
bacbacbabac,ab
bcabbacabab,b
bacbacbacabacbb,b
abacacbacb,ab
acbacbacbaccba,ac
cbacbabacbb,bc
abcabcabacbacab,ab
bbacabacac,abc
bacbabacabacb,b
cabacabacabab,c
accabacabacabacaba,a
ccabacabacabaca,abc
bcabacababacabacabac,bc
ccabacabbb,abc
bacbacabacababa,ab
bacbacbacbacbacbac,b
acbaccabacacb,ac
abcababacba,a
bcabcabacabacabaca,b
bcbabacabacabaca,bc
acbacbacabacabba,ac
bcabcabcabcabacabac,b
cbacbacbacabacacabacaba,bc
acabacacabab,ac
abcabcbacab,ab
cbacbacbacbba,bc
cbacabacacabacab,bc
acabacacabacabba,ac
bacabacabacabacabaca,b
abacbacba,ab
cbacbacabacabacabaca,c
bbacabacacab,abc
bcabcabbabacaba,b
cabcabcabcabacabacaba,ac
cbacbacbbabaca,c
bcabcabcabcababaca,b
abbbbab,ab
abacababacabba,ab
acacabacabacabaca,ac
abacacabacaca,ab
cbcabac,bc
abbacababacaba,a
accabacabb,a
cabacabacbab,c
cabcabbacba,c
abcabcabacabacabacabac,ab
cccabacabac,c
acbcaba,a
bacabacabacabab,b
bacabacbacb,b
bacbacacabacacab,ab
cabcabacbb,ac
bcabacababacabac,bc
abbabacb,ab
cbacabacababac,bc
acabacbac,ac
abcbacbac,a
bacbacbabacabac,ab
acbacababacab,a
abcabcabacacaba,ab
bcabcabcabcabcabcabcaba,bc
abacabacbacab,ab
cabcabcabacababac,c
abcabcabacababa,ab
abcabcabcabab,a
abacabacabbb,ab
acbabacabacabacabacb,ac
bacbaccabcaba,ab
bcbacabac,bc
abcababacababac,a
bcabacabacacbb,bc
cbacbacbabac,c
cabacabbaba,c
cabcabcac,ac
bacabacababacaba,b
abbbba,a
bcabacabacababac,bc
abcabcabcabcabcabcabcaba,a
bacbacabacabacabacab,ab
bacabacacabacabac,b
bacbaccabacabac,b
cabcabbba,ac
acbacbaccbacab,a
acbacbacbbbac,a
accacabaca,ac
cabcabcabcabacbba,ac
bcabacacbba,bc
acabacababacaba,ac
cabcbabacababac,ac
cbacbacbacabacabb,bc
acbacabacababac,a
bacabacabacac,b
acbacbacbacabacab,a
acabcab,ac
cabcabcabcabaca,ac
cabacabacacabacaba,c
bcabcabacacabacaba,b
cabcabcabba,c
abcbacbba,a
bcabacababacabacba,bc
bcabcabcabacabaca,bc
cabbacacabacac,ac
bacabacabbb,b
cabbacacabaca,ac
cabcabacabacac,ac
bacbcb,ab
bcabbacabacb,b
bcababacacaba,bc
acbaccbabac,ac
cccabacabacaba,c
abacabacabacbba,ab
cabbacacab,ac
acbacabacabacacaba,a
bcabbacabacabacabacb,b
ccbacabbba,bc
abacabacacabab,ab
cabcabcabcabcaca,ac
acbacbacacabab,ac
bacbabacaba,b
cabcabacabacabacabac,ac
cabacabacabacabacabb,c
cabcabcabcabcabacb,c
bacbacabacbb,ab
bcabcca,bc
accabacaca,a
bacbacabcabac,ab
cabacabacabacabacabaca,c
bcabcbacab,b
bcabacabacababacabacabac,bc
cabcababacabacb,ac
abcababacabacaba,a
acbacbacbacbacaba,ac
acabacacbb,ac
abbacacaba,a
cabacabacababac,c
cabcbabacabaca,ac
acacabacacaba,ac
bcbabacabacab,bc
bacacabacabacb,b
ababacabba,ab
bacbacbacbaccab,b
abacacabacacaba,ab
acabacacabacabac,ac
acbaccababacb,ac
bacbacacababa,ab
bbbacabacaba,b
abcbaba,a
baccbacba,ab
cabacacabacabac,c
abcabcabbb,a
acbacbbaba,a
cbbc,c
ccbcabacabacaba,bc
cabacababacabacabaca,c
cabcabcabcabcababac,c
bacbacacabacb,ab
abcabcabcabacabacaba,a
abcababacabaca,a
cbacbacabacababa,c
acbacbacabacacab,ac
cbacbaccbba,bc
cbacbacbaccba,c
bacabacabacababaca,b
cbacacabacac,bc
bcabcabcababacb,bc
baccbaca,ab
bcabcabcabacababa,bc
bcabcabcabcabcabacaba,bc
abacabacbbab,ab
bcabacbab,bc
bbbacbb,b
cabcabacabacabacb,ac
bacabacabacabacac,b
acabacabacabacabaca,ac
ccbacabacab,bc
cbacabacabacacba,bc
acabacbabac,ac
baccbacab,ab
bacbbbacabac,ab
bacabacabacabacacba,b
cabcbacabac,ac
cccac,ac
accabacabab,a
cbacacabacbb,bc
baccabbaca,b
cbacababacabacabac,bc
cabcabbacabaca,c
cabbacabacabacba,ac
cbacacbacab,bc
cbabacabacacbb,c
bbabacaba,ab
bacacabba,b
cacabacacba,ac
bcabcabacabacabacabacabaca,b
bcacabacac,b
cabcababacbba,ac
acbacababacabac,a
bcabacacbbab,bc
cabacababacabacabacab,c
bacbacbacbacbacbaca,ab
abbacabacabacbba,a
bcabcabacabacac,b
abcabbacacab,ab
cabcabacbacaba,ac
abacabbab,ab
abcabcacba,a
bcbacababacaba,bc
cbacacbacabacb,bc
cabacabacabacabb,c
cbacabacabacabacaba,bc
cacabacabaca,ac
cbacabacbbaba,bc
cabcabcababac,c
abacbabacabacab,ab
bcabcabacabacbab,b
bcabcababacab,b
abacabacbbabac,ab
ababacbba,ab
acbbabacab,ac
acbacbacbacbacbacbac,a
cabcabbacabac,c
bcabacbac,bc
baccbacaba,ab
abbacababa,a
abbabacba,ab
acacbacb,ac
cabbabacabacbabacaba,c
abacacabacabaca,ab
abcabcabcabbacab,ab
abacabacabacabacabbb,ab
cabcabcabbaccab,c
bacbacabacabacabacba,ab
cabacabacabacababa,c
abbacbb,a
cbacbacabacaca,c
abcbacabac,a
acabbabacaba,ac
acbacbacbacbacbacabaca,a
bacabacabacabacabac,b
abcabcabbacabacab,a
bcabbbab,bc
abbaccbb,ab
cbacbacbaccabacab,c
abbacabacabacabacaba,a
cabcacabacabacaba,c
abcabcbabacabac,ab
bacbacbacabacba,b
cabcabcabcabcabcb,ac
acbacbbba,a
abbacbab,a
babacabacacab,ab
abcabcababacab,ab
bacababacac,b
abacacababacb,ab
babacababac,ab
bacabacabacbbabacaba,b
cabacbbabacababacaba,c
abcabcbabacaba,ab
abacababacabacabaca,ab
cbacababacabacabacab,bc
acbacbabaca,a
cabbacacabacaba,ac
cbabacabacabacab,c
cbacacabba,bc
abcababacbba,a
acbacabacabacacabacab,a
acbacbacbacbba,a
bcabcababacacabaca,b
baccabbb,b
abcabbacabacabacb,ab
acacababaca,ac
acbacabacabacacb,a
acbacbabacaba,a
abcabcabcababa,a
acacabacabacabacabacabacabac,ac
bcabacacabaca,bc
abacabacacabacaba,ab
cabbacabb,ac
cabcabacabbba,ac
cbaccabba,c
cbacbacbacabacab,bc
abacabacacabaca,ab
bacabacabacabacacb,b
bacbacabacabacabacabacab,ab
abcabcababacabac,ab
babacababaca,ab
acacbacabacabacab,ac
cbacbaccababac,bc
cbacbabaca,bc
bcababacacba,bc
cbacbaccabab,bc
cbacbacabacababaca,c
bacabacabacabba,b
bbacababac,abc
acbacbacbab,ac
bacbacabacabacabac,ab
cabcabcabcabcabacabacab,c
acbacacbab,a
abcacababa,ab
abcbacabaca,a
ababacacabac,ab
cabcabacbab,ac
cabacabacabacabacabac,c
ababacabacac,ab
acacababacabacabac,ac
bcababacabacaba,bc
abcabacabacabacba,a
cbacbacabacbba,c
acbacbaccabacabacaba,a
bacabacacabab,b
cbacbbabac,bc
cacabacba,ac
bacacbbb,b
abbacabacabacabacba,a
cbabacbba,c
bacbacbacbaccaba,b
cbacbacabbb,c
bbacbacba,ab
ccbacabacaba,bc
cabcabacabbb,ac
cbacacabacabacba,bc
bcabcabcabcabac,b
bacbacbbabac,ab
acabacababacabacabac,ac
bcabcabcbaca,bc
abcabbaba,a
cbacbacababaca,c
bacabacabacabacabacaba,b
abcacabbba,ab
bacbbbacba,b
acbaccac,a
